Year,State,Program,Level,College/University Name,Type,Affiliated University,State,City,Courses Offered,Intake Capacity,Accreditation,Approval Year
2016-2017,Karnataka,Applied Arts and Crafts,PG,No data available in table
2016-2017,Kerala,Applied Arts and Crafts,UG,No data available in table
2016-2017,Kerala,Applied Arts and Crafts,PG,No data available in table
2016-2017,Madhya Pradesh,Applied Arts and Crafts,UG,No data available in table
2016-2017,Madhya Pradesh,Applied Arts and Crafts,PG,No data available in table
2016-2017,Maharashtra,Applied Arts and Crafts,UG,1-2809561336,SIR J. J. INSTITUTE OF APPLIED ART,"DR. D. N. ROAD, FORT",MUMBAI CITY,Government,N,N,Click Here,NA
2016-2017,Maharashtra,Applied Arts and Crafts,UG,1-2809573856,"B. S. BANDEKAR COLLEGE OF FINE ART,( APPLIED ART).","SURVE NO.54/01, NEAR FOREST BHAVAN,SALAIWADA,AT/PO.SAWANTWADI,DIST:-SINDHUDURGA.416510",SINDHUDURG,Unaided - Private,N,N,Click Here,NA
2016-2017,Maharashtra,Applied Arts and Crafts,UG,1-2809599475,BHARATI KALA MAHAVIDYALAYA,"BHARATI VIDYAPEETH EDUCATIONAL CAMPUS, PUNE-SATARA ROAD, PUNE 411043",PUNE,Unaided - Private,N,N,Click Here,NA
2016-2017,Maharashtra,Applied Arts and Crafts,UG,1-2809768310,VIVA INSTITUTE OF APPLIED ART,"AT:-SHIRGAON, POST:- VIRAR (E)",THANE,Unaided - Private,N,N,Click Here,NA
2016-2017,Maharashtra,Applied Arts and Crafts,UG,1-2809800770,PAD.DR.D.Y.PATIL COLLEGE OF APPLIED ARTS & CRAFTS,"SECTOR NO. 29, NIGDI-PRADHIKRAN, AKURDI, PUNE -44",PUNE,Unaided - Private,N,N,Click Here,NA
2016-2017,Maharashtra,Applied Arts and Crafts,PG,No data available in table
2016-2017,Manipur,Applied Arts and Crafts,UG,No data available in table
2016-2017,Manipur,Applied Arts and Crafts,PG,No data available in table
2016-2017,Meghalaya,Applied Arts and Crafts,UG,No data available in table
2016-2017,Meghalaya,Applied Arts and Crafts,PG,No data available in table
2016-2017,Mizoram,Applied Arts and Crafts,UG,No data available in table
2016-2017,Mizoram,Applied Arts and Crafts,PG,No data available in table
2016-2017,Nagaland,Applied Arts and Crafts,UG,No data available in table
2016-2017,Nagaland,Applied Arts and Crafts,PG,No data available in table
2016-2017,Odisha,Applied Arts and Crafts,UG,No data available in table
2016-2017,Odisha,Applied Arts and Crafts,PG,No data available in table
2016-2017,Orissa,Applied Arts and Crafts,UG,No data available in table
2016-2017,Orissa,Applied Arts and Crafts,PG,No data available in table
2016-2017,Puducherry,Applied Arts and Crafts,UG,1-2811530914,BHARATHIAR PALKALAI KOODAM,"CUDDALORE MAIN ROAD, ARIYANKUPPAM",PUDUCHERRY,Government,N,N,Click Here,NA
2016-2017,Puducherry,Applied Arts and Crafts,PG,No data available in table
2016-2017,Punjab,Applied Arts and Crafts,UG,No data available in table
2016-2017,Punjab,Applied Arts and Crafts,PG,No data available in table
2016-2017,Rajasthan,Applied Arts and Crafts,UG,No data available in table
2016-2017,Rajasthan,Applied Arts and Crafts,PG,No data available in table
2016-2017,Sikkim,Applied Arts and Crafts,UG,No data available in table
2016-2017,Sikkim,Applied Arts and Crafts,PG,No data available in table
2016-2017,Tamil Nadu,Applied Arts and Crafts,UG,No data available in table
2016-2017,Tamil Nadu,Applied Arts and Crafts,PG,No data available in table
2016-2017,Telangana,Applied Arts and Crafts,UG,1-2812701202,SRI VENKATESHWARA COLLEGE OF FINE ARTS,"86, HITECH CITY ROAD, MADHAPUR, HYDERABAD",RANGAREDDI,Unaided - Private,N,N,Click Here,NA
2016-2017,Telangana,Applied Arts and Crafts,PG,No data available in table
2016-2017,Tripura,Applied Arts and Crafts,UG,No data available in table
2016-2017,Tripura,Applied Arts and Crafts,PG,No data available in table
2016-2017,Uttar Pradesh,Applied Arts and Crafts,UG,1-2812490797,FMG (ACADEMY) GROUP OF INSTITUTIONS,PLOT NO-8 KNOWLEDGE PARK 3,G B NAGAR,Unaided - Private,N,N,Click Here,NA
2016-2017,Uttar Pradesh,Applied Arts and Crafts,UG,1-2812530817,AXIS INSTITUTE OF FASHION TECHNOLOGY,VILL-HATHIPUR TEHSIL KANPUR SADAR,KANPUR NAGAR,Unaided - Private,N,N,Click Here,NA
2016-2017,Uttar Pradesh,Applied Arts and Crafts,UG,1-2812891351,VIDYA INSTITUTE OF FASHION TECHNOLOGY,"VIDYA KNOWLEDGE PARK BAGHPAT ROAD MEERUT ,UTTAR PRADESH-250005",MEERUT,Unaided - Private,N,Y,Click Here,NA
2016-2017,Uttar Pradesh,Applied Arts and Crafts,PG,No data available in table
2016-2017,Uttarakhand,Applied Arts and Crafts,UG,No data available in table
2016-2017,Uttarakhand,Applied Arts and Crafts,PG,No data available in table
2016-2017,West Bengal,Applied Arts and Crafts,UG,No data available in table
2016-2017,West Bengal,Applied Arts and Crafts,PG,No data available in table
2017-2018,Andaman and Nicobar Islands,Applied Arts and Crafts,UG,No data available in table
2017-2018,Andaman and Nicobar Islands,Applied Arts and Crafts,PG,No data available in table
2017-2018,Andhra Pradesh,Applied Arts and Crafts,UG,No data available in table
2017-2018,Andhra Pradesh,Applied Arts and Crafts,PG,No data available in table
2017-2018,Arunachal Pradesh,Applied Arts and Crafts,UG,No data available in table
2017-2018,Arunachal Pradesh,Applied Arts and Crafts,PG,No data available in table
2017-2018,Assam,Applied Arts and Crafts,UG,No data available in table
2017-2018,Assam,Applied Arts and Crafts,PG,No data available in table
2017-2018,Bihar,Applied Arts and Crafts,UG,No data available in table
2017-2018,Bihar,Applied Arts and Crafts,PG,No data available in table
2017-2018,Chandigarh,Applied Arts and Crafts,UG,No data available in table
2017-2018,Chandigarh,Applied Arts and Crafts,PG,No data available in table
2017-2018,Chhattisgarh,Applied Arts and Crafts,UG,No data available in table
2017-2018,Chhattisgarh,Applied Arts and Crafts,PG,No data available in table
2017-2018,Dadra and Nagar Haveli,Applied Arts and Crafts,UG,No data available in table
2017-2018,Dadra and Nagar Haveli,Applied Arts and Crafts,PG,No data available in table
2017-2018,Daman and Diu,Applied Arts and Crafts,UG,No data available in table
2017-2018,Daman and Diu,Applied Arts and Crafts,PG,No data available in table
2017-2018,Delhi,Applied Arts and Crafts,UG,No data available in table
2017-2018,Delhi,Applied Arts and Crafts,PG,No data available in table
2017-2018,Goa,Applied Arts and Crafts,UG,No data available in table
2017-2018,Goa,Applied Arts and Crafts,PG,No data available in table
2017-2018,Gujarat,Applied Arts and Crafts,UG,No data available in table
2017-2018,Gujarat,Applied Arts and Crafts,PG,No data available in table
